id,opening_hours
node/249672846,Mo-Th 11:00-00:00; Fr 11:00-01:00; Sa 10:00-01:00; Su 10:00-23:00
way/376872583,
way/655249175,
way/219045183,Mo-Th 16:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-22:00
way/139911657,
way/198639606,
node/249672865,
way/940451832,Mo-Su 12:00-23:00
node/11061470043,Tu 16:00-22:30; We 14:00-22:30; Th-Sa 12:00-22:30; Su 12:00-21:30; Mo off
181555b6-dff2-4d1c-aa21-e249f70e5280,
8ddfb0e1-1d53-45c3-aebe-a7a9e15557cd,
way/412076101,
way/159296346,Mo-Th 15:00-23:00; Fr 14:00-01:00; Sa 12:00-01:00; Su 12:00-23:00
node/12242503,
node/1975218592,
way/1060529595,
way/425809862,
node/265664308,Mo-Su 12:00-23:00
node/249310455,"Mo-Th 12:00-23:00, Fr,Sa 12:00-01:30, Su 12:00-22:30"
node/278291760,
way/204148499,
way/425809832,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/422666464,"Mo-Fr 12:30-23:30, Sa 11:00+, Su 11:30+"
way/616081584,
node/339719862,Mo-Th 12:00-00:00; Fr 12:00-02:00; Sa 11:00-02:00; Su 11:00-00:00
way/230788987,
node/11128539820,
way/373262266,
way/1059879142,
way/533902320,Mo 16:00-21:00; Tu-Th 16:00-22:00; Fr 16:00-23:00; Sa 13:00-23:00; Su 13:00-21:00
node/2831429756,Mo 16:00-23:00; Tu-Th 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-23:00
way/142390003,
way/305492454,Mo-We 17:00-23:00; Th 16:00-24:00; Fr 16:00-02:00; Sa 12:00-02:00; Su 12:00-22:00
way/220801895,Mo-We 15:00-23:00; Th-Sa 12:00-23:00; Su 12:00-22:30
node/4558839822,
way/973123074,Mo-We 12:00-23:00; Th 12:00-00:00; Fr-Sa 12:00-01:00; Su 09:00-22:30
way/273890986,
way/200855783,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/379838816,Th-Sa 12:00-23:00; Su 12:00-22:30; Mo 16:00-23:00; Tu-We 12:00-00:00
way/200855784,
way/142371494,"Mo-Th 16:00-24:00; Fr,Sa 12:00-24:00; Su 12:00-22:30"
node/9394266492,
way/996134486,Mo-Th 15:00-23:30; Fr-Sa 12:00-24:00; Su 12:00-23:30
way/546566232,
way/458942013,
way/409334180,
way/987440460,Mo-Th 12:00-23:00; Fr 11:00-24:00; Sa 11:30-24:00; Su 11:30-23:00
way/461624372,"Mo-We 16:00-01:00; Th,Fr 16:00-03:00; Sa 12:00-03:00; Su 12:00-01:00"
way/546566227,Mo 12:00-22:00; Tu-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:00
way/1169647919,
way/445139621,Mo 16:00-24:00; Tu-Th 16:00-24:00; Fr 16:00-02:00; Sa 14:00-02:00; Su 14:00-21:00
node/1420042285,
way/389564046,
way/934330566,Mo-Th 17:00-23:00; Fr 14:00-24:30; Sa 12:00-24:30; Su 12:00-22:00
way/945438537,
node/13327212416,
way/1360397272,Mo-Sa 11:00-23:00; Su 12:00-22:00
node/3280571386,Mo-Th 11:00-23:00; Fr 11:00-24:00; Su 10:00-22:30; Sa 10:00-24:00
way/288532780,"Mo-Th 16:00-23:00; Fr 12:00-24:00; Sa 12:00-01:00, Su 12:00-22:30"
way/429089060,
way/429273275,
node/12531850553,
way/1208480794,
way/50826303,
way/50885254,
way/132612884,
way/182913386,
way/430938730,Mo-Th 11:00-23:00; Fr-Sa 11:00-24:00; Su 12:00-22:30
way/195029749,
way/533670749,
node/13191255035,
way/429066804,Mo-Th 16:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:00
node/160548974,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/71500781,
way/413304152,Su-We 12:00-23:00; Th-Sa 12:00-24:00
way/195008372,
way/420501808,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/408226105,"Mo-Th 17:00-24:00; Fr,Sa 16:00-01:00; Su 16:00-24:00"
way/1396546690,
way/680363356,
way/680295876,We-Th 12:00-24:00; Fr-Sa 12:00-01:00; Su-Tu 12:00-23:00
way/681581511,
way/626162189,
way/685395571,
way/309899227,
way/310872642,
way/680896798,
way/1232304253,
way/626162208,
node/3077522360,
way/309900396,
way/916682836,
way/684584616,
way/516163788,
way/593535886,
way/221310845,
way/594763297,
way/115190097,Mo-Sa 11:00-23:00; Su 11:00-22:30
way/921356497,
way/142313535,"Mo 16:00-23:00; Tu-We,Su 12:00-23:00; Th-Sa 12:00-24:00"
way/371174113,Mo-Th 16:00-23:00; Fr 16:00-24:00; Sa 12:00-24:00; Su 12:00-23:00
way/228900858,
node/306966699,
way/373406676,Mo-Th 15:00-23:00; Fr 15:00-01:00; Sa 12:00-01:00; Su 12:00-23:00
way/757875931,
